Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
α-Aspartylphenylalanine	482431342.3	491624161	483559388.4	18907106.36	16143982.87	18954311.86	9426218.278	8808453.323	9247125.211	8351892.825	8143178.192	7328379.012	4149871.635	3731782.362	4231252.512	6823356.997	6803449.434	6777769.813	119303458.5	88468919.89	89307291.43
α-Eleostearic acid	980024821.6	907777417.3	896633743.7	1022218884	658761196.8	705664801.5	34794202.66	30840152.76	33064117.84	20234869.69	15484366.26	25249847.12	8116789.691	9839669.621	9143268.9	5768558.948	5203704.751	7837715.659	79285014.12	79233998.65	124985283.9
α-Linolenic acid	488640659.8	493708871.8	464567244.7	112604638.8	88169680.28	116461668.9	25488802.79	17047773.8	19341094.96	56382507.75	64385329.4	58889952.59	46844208.71	28002969.7	41246428.8	43101186.79	35601087.44	53826128.39	93428680.17	97954404.53	93262447.66
α-Pinene-2-oxide	6269496.752	1301666.771	5013595.718	2279562.543	7289191.739	5271294.136	18139920.65	6964750.476	14631867.61	65621333.5	73945279.41	72638043.59	66667071.32	38748290.26	55584562.2	57351405.54	54532923.82	68851496.39	49915072.59	74571664.69	80084625.25
α-Propylaminopentiophenone	1984134.571	2224085.354	2194877.572	11656989.76	12025757.29	9440807.007	22795587.64	26956784.06	22942680.57	28341453.63	18079636.35	19819280.76	2374224.163	1667723.995	1851148.003	693187.0571	632898.6915	598815.782	4848700.088	5457638.844	5642494.033
"""ADENOSINE 2',3'-CYCLIC PHOSPHATE"""	21880134.13	17264952.34	15804224.15	17054893.37	15707997.3	16596878.47	583174.6197	451725.9028	844115.9557	549302.0392	553504.84	487281.336	1290514.571	1119941.664	1128570.067	1801551.047	1584944.742	1303131.266	24421170.76	32685309.59	23039627.1
(+/-)12(13)-DiHOME	6722180.261	7259251.001	7811814.735	1417154.718	1348534.724	1544416.974	350335.8585	366585.3638	336503.6108	232239.7733	135082.2381	695360.4363	388535.7952	225228.9671	359303.0775	129951.3737	226402.2159	352788.3208	2537720.012	1464422.148	1663735.789
(+/-)13-HODE	566076744	555992640.7	584022940.5	1038815550	695097397.9	775385026	29208370.74	24612032.36	20760978	11680344.21	10874257.91	13940914.13	5470598.614	4962264.179	5078398.703	4083823.98	4550834.727	5129990.935	57915904.55	65238874.02	105586631
(+/-)19(20)-DiHDPA	165171.0249	162809.7891	170206.2201	144806.2473	264816.8028	152388.6572	76308.93584	75906.01971	75054.74414	76941.14038	95237.09425	4986680.681	15632838.72	17618674.36	15934768.94	15566358.5	38452479.32	18660874.43	12441955.82	4249938.54	7018028.184
(+/-)9-HpODE	369264640.8	354689986.4	376276701.7	356072890.1	340783260.5	366304497.2	18120194.7	16981445.43	15542089.45	7281237.668	7419941.732	7781007.327	3612787.213	2531719.352	2354707.345	1556671.155	1460804.349	1825933.698	23893615.8	22141421.22	16276554.38
