Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
BC332_03403_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_11939_mrna	89.1373	77.7603	56.5552	87.9188	56.5393	97.1578	35.8583	29.5899	29.4901	12.2701	17.837	4.3378	24.607	15.3027	29.4353	2.15104	12.4665	13.8806	18.3668	30.0	15.4124
BC332_30421_mrna	775.0	562.0	418.0	1827.0	1066.0	1045.0	1407.0	1344.0	1985.0	1248.0	1119.0	960.0	828.0	677.0	1061.0	190.0	73.0	136.0	528.0	571.0	508.0
BC332_02394_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_07125_mrna	5.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_14841_mrna	1.0	6.0	0.0	6.0	7.0	6.0	1.00634	4.0	2.0	0.0	1.0	10.0	5.01586	3.0	2.01408	2.0	2.0	2.0	4.0	1.00706	2.0
BC332_09621_mrna	1045.0	739.0	518.0	2541.0	2277.0	2248.0	1631.0	1238.0	1481.0	614.0	624.0	444.0	357.0	265.0	423.0	44.0	52.0	38.0	79.0	25.0	56.0
BC332_07830_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
BC332_31876_mrna	325.0	310.0	158.0	133.0	123.0	133.0	195.0	213.0	264.0	368.0	240.0	289.0	230.0	299.0	314.0	149.0	223.0	179.0	239.0	363.0	134.0
BC332_03306_mrna	17.1591	18.0	16.0	8.0	2.0	4.0	6.0	0.0	9.11259	6.09789	3.0	8.0	13.0	6.0	14.0	4.0	2.0	0.0	4.0	3.0	2.0
