Name,0010-04-02,0011-04-02,0011-07-18,0011-09-26,0011-11-21,0011-12-04,0012-01-05,0012-02-06,0012-03-09,0012-04-02,0012-06-02,0012-10-28,0012-11-01,0012-12-07,0013-01-22,0013-02-06,0013-04-11,0013-06-05,0013-08-07,0013-10-03,0013-11-01,0013-12-18,0014-01-08,0014-03-21,0014-04-24,0014-06-02,0014-08-04,0014-09-12,0014-11-18,0014-12-13,0015-01-05,0015-03-31,0015-06-17,0015-07-01,0015-08-11,0015-09-08,0015-10-13,0015-12-15,0016-01-05,0016-02-24,0016-04-21,0016-05-09,0016-06-09,0016-07-05,0016-08-22,0016-10-04,0016-12-19
ABCB6,1.474314,0.8462802,1.9442538,1.134581,2.053692,1.465691,0,0,1.1539192,2.2513866,0,0.804677,2.754552,1.7710322,3.421763,2.185544,2.645389,1.880329,0.8545399,1.188512,0.925185,2.042657,0.8999201,1.915722,0,2.0757471,0,2.2517921,2.6448738,2.093986,2.228948,2.247569,1.081674,1.112889,1.5937564,1.8498487,2.3459237,2.023357,1.116368,1.112246,0.6546103,1.92157,1.7763482,0,1.784079,1.907601,0
ABCB8,0.917819,0.8462802,0.9630762,0,1.036016,0,3.012609,1.170351,1.5047543,0.8092337,0.8465218,0.804677,0,0.8514607,1.557436,0.916282,0,0,0,2.612755,0.925185,2.042657,2.1582887,0,2.207505,3.2990942,1.5635623,0,0.8078742,0.8618085,0,2.247569,2.450476,1.112889,0.7422484,1.624662,1.6049865,0,1.738123,1.112246,0,1.259529,1.7763482,1.3823721,2.0903951,1.907601,1.382162
ABCC1,0,0.8462802,1.9442538,2.197439,1.632787,0,0,1.170351,2.0225237,1.3245577,0.8465218,1.318178,0,0,3.868204,0,1.859302,0,0.8545399,0,1.484321,2.632282,3.2058062,0,0,2.3275533,0,0.9565661,0,1.3976003,0,1.807031,0,0,0.4183415,0.6049488,3.1965623,0,2.171211,1.112246,2.1522302,0.763061,0.6838266,1.7699621,1.3946916,1.907601,0
ABCC10,0,0,0,0,0,0,0,0,0,0.8092337,0,0,0,0,0,0,1.859302,1.226998,0,0,0,0,1.449918,0,0,0,0,0,0,0.8618085,0,1.169673,1.081674,1.112889,0.4183415,0,1.2395728,0,0,0,1.1032501,0,1.1458665,0,0,0.939063,0.850634
ABCC3,0.917819,1.376134,3.1036148,1.761752,1.632787,1.465691,1.271452,0,1.1539192,1.3245577,2.7196487,1.318178,2.272706,1.7710322,0,0,0,0,1.7759127,3.116873,1.88627,1.028578,2.9058746,2.710625,3.951871,2.7284314,3.4301702,0,0.8078742,1.7874094,0,3.614293,1.692865,0,0.7422484,1.624662,2.3459237,1.605743,3.664488,1.732764,1.7210501,0.763061,2.9392914,2.3269447,2.3429269,2.481922,2.54096
ABCC4,1.474314,0.8462802,0,0,1.036016,0,0,0,0,0,0,0,1.544062,0,2.288832,0,1.859302,0,0.8545399,1.188512,1.484321,0,1.8471503,0,2.207505,0,1.9759024,0,1.7012785,0,0,1.169673,1.692865,0,1.5937564,0.6049488,0.7490133,0,1.116368,1.112246,0.6546103,0.763061,1.4952781,0.8507861,0,0,0.850634
ABCC5.AS1,2.188093,0,0.9630762,1.134581,0,0,1.271452,0,1.1539192,0,1.3764688,0,0,0,1.557436,0,0,0,0.8545399,1.188512,2.458025,2.042657,1.2009713,1.915722,0,0.8511247,1.5635623,0,0.8078742,0,2.228948,1.169673,1.692865,0,0,0,0.7490133,1.015614,2.774001,1.112246,0,0.763061,0,0.8507861,0.8597006,0.939063,0
ABCC6,4.362025,0.8462802,3.8371835,2.80276,3.233345,1.465691,3.778882,3.615414,2.8330678,2.0032863,2.8846535,2.454315,4.189453,2.328157,4.352831,3.017559,3.525228,1.880329,2.5482127,4.031229,3.32038,3.220345,3.2058062,3.595994,5.06905,4.3990116,2.5581623,2.2517921,3.3230184,2.9142813,4.642209,4.391885,1.692865,2.498541,2.232751,1.8498487,3.934847,3.487695,4.016502,3.901285,2.6247364,3.115693,1.4952781,2.3269447,2.7447278,3.790976,2.727496
ABCD1,0,1.7628072,0.9630762,1.134581,0,0,0,0,0,0.8092337,0.8465218,0.804677,0,0,0,0,0,0,0.8545399,0,0,0,2.2918487,0,0,1.3828406,0.9839797,0,0,0,0,1.169673,1.081674,0,0.4183415,1.0298765,1.2395728,0,0,0,0,0.763061,0,0,0,0,1.382162
ABCE1,4.362025,4.8935047,4.0171554,4.331187,4.389607,4.777648,4.871888,4.304509,4.7068675,4.7321355,4.333127,3.775559,4.798362,3.7938158,4.048447,4.358917,4.277854,4.095041,4.2311254,3.489724,4.60716,3.959785,4.6076849,4.844499,3.567579,5.1525074,4.2913359,4.5592743,4.6876649,4.8878188,4.744992,4.108097,4.149532,4.293116,4.3817701,4.2258488,4.6726034,4.553285,4.117035,4.29198,4.6171702,4.985129,4.5875455,4.7393873,4.4712659,4.786659,4.503916
