Name,0010-04-02,0011-04-02,0011-07-18,0011-09-26,0011-11-21,0011-12-04,0012-01-05,0012-02-06,0012-03-09,0012-04-02,0012-06-02,0012-10-28,0012-11-01,0012-12-07,0013-01-22,0013-02-06,0013-04-11,0013-06-05,0013-08-07,0013-10-03,0013-11-01,0013-12-18,0014-01-08,0014-03-21,0014-04-24,0014-06-02,0014-08-04,0014-09-12,0014-11-18,0014-12-13,0015-01-05,0015-03-31,0015-06-17,0015-07-01,0015-08-11,0015-09-08,0015-10-13,0015-12-15,0016-01-05,0016-02-24,0016-04-21,0016-05-09,0016-06-09,0016-07-05,0016-08-22,0016-10-04,0016-12-19
L-Cysteine,924818.5,597499.1,995594.2,817082.8,987886.1,935791.9,601570,807189.2,400408.4,400158.3,365536.3,746898.9,466617.4,873683.9,826910.6,923127.8,726105,562842.1,418903.4,623234.2,579060.1,462916.1,341047.1,570010.1,668235.9,716968.1,569979.7,464111,805151.6,654674.3,660287.1,528256.8,342035.1,611009,405962.7,487510.1,746511.8,482913.6,616372.6,512950.2,529237.9,566835.3,586842.5,666501.4,585420.8,545647.6,877265.9
N-Acetylserine,681711.4,702917.3,621265.6,691573.5,733875,608565.1,726100.5,732449.9,699343.3,691940.6,573917.3,558029.6,619913.7,786273.8,610025.1,666073.3,798132.6,737248.2,671716.1,844047.8,545989.5,637739.6,724854.2,793489.2,828333.8,858143.8,832007.2,605112.2,874279,728575.8,773970.5,746207.9,575599.3,769998.4,673155.2,863070.9,971385.3,725523.4,741320.9,771341.2,683528.1,896908.3,880603.3,678091.8,794083.9,693487.8,1076695
5-oxoproline,3886584,4614510,3798267,4830935,3840922,3673008,3833788,4612015,4067627,3853977,4321348,4852495,4448958,4360957,4310235,3860400,6214250,5517572,6024999,6760927,3908727,4842855,5172237,6407635,8398330,5483551,7639559,6975630,11701710,5689314,7099640,7236040,5330688,6389470,5960657,7595504,7998098,6078374,8048735,6576693,8048324,11771070,7359312,7917898,9802385,9268094,7401736
C11H19NO9,4662218,5692149,4976747,6067045,4899584,4642380,4711699,6430594,5121770,4627684,5259210,5998824,5945716,5650682,5365644,4911165,7812404,7143686,7787077,10094650,4694087,5383501,4494046,12892730,11220880,6870447,10527770,8797216,19414550,7166030,9711305,0.6577093,4483481,8045131,7355341,10187090,11836060,7763550,10498300,8749767,10739380,18179040,13999460,10517860,0.6577093,12678660,14494710
C5H8O6,333241.1,105859.9,142893.9,93338.14,104176.6,118458.4,144116.1,208529.2,109697.1,137035.8,113667.4,141368.2,78909.13,53989.4,153207.6,139130,78115.46,120684.7,122148.6,80999.87,136270.6,78120.52,74943.54,86687.29,54691.38,88545.05,83218.52,61848.95,91128.6,80342.93,206708.6,120124.2,171412.9,136104.5,157227.9,130362.2,144664.5,118033.9,79715.34,110428.6,80158.66,78234.98,88513.22,227437.3,83874.84,37488.08,83025.29
C8H14O7,123628.5,174368.3,277630.1,138561.9,180306.1,147302.3,125493.5,131506.5,228830.5,142349.9,272931.1,266147.4,106840.2,108089.7,112477,114205,805088.4,153111.8,195155.7,128277.7,116484.9,283930.4,205470.2,359864.8,132816,329927,849629.6,214912,345989,148788.7,360353.5,410704.8,101511.2,307868.6,263089,600615.4,323391.5,188242.5,287526.7,159650.6,192473.3,1265301,683958.5,115760.7,389844.4,142799.7,342843.9
C6H10O6,334124.1,189172.7,102397.3,210589.4,196115.6,196485.1,166982.7,259556.8,168510.2,170074.7,142417.3,105392.1,214202.7,197001,179447,168204.7,226250.5,250825.2,241614.9,250615.5,130320.5,308724.9,244840.3,301002.6,296367.8,213993.8,306222.3,233847.9,339252.3,184671.3,254339.7,208157.8,148834.9,231522.2,207559.5,237841.6,279926.6,196785.5,218575.3,214929.2,228319,290971.6,264630.7,257045.2,266053,297821.4,292133.3
Arabonate | Xylonate(3),341667,51697.13,247035,366440.5,452058.9,465360.1,155189,193498.1,258615.6,457387.2,276480.9,220035,74924.4,78634.27,101951.2,78142.55,539989,144364,139005.7,83855.8,85954,579678.9,350049.9,602005.4,86103.96,389181.4,747442.1,625655.5,422834.3,314257.7,531359.8,581794.9,346913.8,393320.1,578113.8,755548.1,166460.7,515879.5,472676.8,402320,280569.9,691179.2,614516.8,139138.2,686246.7,91053.51,657703.6
L-Proline,884975.6,905131.5,1482924,975428.6,984756,898505.3,919046.3,898488.2,905222.7,770226.7,1215606,955409.1,628543.7,1088956,705524.2,646414,1163533,1057430,879611.3,1168412,839985.1,1347954,1000271,999779.4,1004634,1108104,1049481,1094105,2045423,856891.9,1008169,764978.5,850716.9,771072.4,1092588,1150777,1135816,1392754,1245369,864708.3,1078782,1027147,1048173,814682,932068.1,1035596,1168864
Threonic acid,3833188,5181652,8232029,5097171,4025131,5300139,1850866,1960142,1886845,3870913,5353163,11888220,2149946,3473220,1790324,2858381,1854270,2470460,2373827,2718634,11981050,3080867,2593559,2788380,3123634,2604804,3006545,2160643,2947289,2238793,3097343,2461283,1744036,2741140,2826417,2932106,2898967,2566874,2709047,2754274,2527612,3013222,3058520,2455319,2436919,2346917,3301564
Orotidine,138621,99663.19,107505.4,112226.6,98665.29,97913.84,97342.18,103891.3,102062.4,99392.19,87506.71,76230.55,74769.71,90309.99,93300.69,95260.17,107519.9,105145.1,112741.8,116094,84481.15,126585.9,99682.23,95177.11,111475.7,112265.5,123165.1,84699.02,124835.2,109436.6,118891.8,79712.55,72066.41,88538.08,109913,124220.2,104755.5,98369.91,115340.2,99241.46,96052.17,119936.2,103930,105819.8,96217.49,97670.48,130461.4
C13H18O11,55973.78,55709.8,74622.1,100898,43053.43,34528.89,154038.3,271823,68109.68,18778.39,62610.69,50500.55,61781.46,73973.26,74937.76,88403,99483.39,133851.6,57251.02,129760.2,18027.17,55293.47,137706.1,159629,114745.3,110274.7,115900.5,108410.9,165759.1,78225.32,101739.7,112691.3,151145.9,116704.6,111599.7,98194.51,187375.3,98764.79,66773.16,56672.59,41373.07,118883.5,119071.1,129933.2,150170.3,141488.1,136929.8
Arabonate | Xylonate(1),1871364,622972.6,1610489,760177.8,796001.5,885065.8,415365.7,363889.6,454969.2,886147.5,1688585,2899578,348366.6,504730.1,481769.3,473488.9,673520,614485.8,442030.8,495033,1514030,938385.5,610211.7,666461.1,491312.2,680943.4,2321668,862302.7,689202.1,567184.5,771084.6,687734.7,550159.5,761948.4,673791.3,989823.4,533041.4,747380.4,774507.1,665361.7,611876.8,825515.7,821202,459944.1,864886.1,674527.5,632460.4
Gluconic acid,1948929,1302549,1356508,1445122,1434767,1031232,1368065,1412250,1407356,1196534,1320310,1200490,1188727,1282338,1326528,1296404,1564077,1679239,1652488,1586965,1256162,3431387,780028.1,1525172,1878154,1647432,1981922,1174659,12.49189,1628238,2063540,1991812,1318926,1859548,2043632,1818953,1635304,1793030,2226592,1850326,1562231,1845962,1734558,1854556,1668154,1604812,732153
4-Hydroxyproline,107993.2,324350.7,549805.8,121333.2,273173.6,558862.8,187172.1,117889.9,212725.4,157097,127063.7,115571.7,119616,153133.5,208459.1,112234.1,414650.7,160085.7,141435.4,147697.5,178685.8,332115.6,176232,137841.3,99218.1,261908,160344.5,182175.7,184385.2,190943.7,213534.1,152101.1,110750.7,130269.4,378715.3,302366,239689.5,463986.2,168594.4,230681.7,392053.4,230558.5,190297.2,241169.4,308316.9,235843.1,242097.7
Unknown_nHILIC_275.0649_8.9,266846.8,356924.8,460764.8,249868.5,249133.2,198611.2,555706.7,301039.9,355916.7,256399.2,265141.7,286078.8,232322.6,345003.6,196510.2,243517.8,374389.6,928070.1,924085.7,684312,324191.1,647072,357231.8,216736.1,961245,1236906,951636.4,1566734,751328.4,622778.2,884871,450412.4,950082.8,1185898,548002,1099031,595530.8,1264860,1445114,1246740,962127.8,448985.7,683983.5,527500.6,474492.5,615453.9,234096
Unknown_nHILIC_280.0754_8.9,91264.1,83345.62,81739.49,72809.8,71094.95,42296.01,96926.51,83574.35,79710.54,63274.7,85691.17,79799.62,70180.33,82623.95,52541.29,73526.87,74730.39,210807.9,218216.3,166101.7,82154.7,134868.2,85427.44,46309.32,238531,359537.4,8117.086,447836.6,182428.7,135893.7,198051.8,99467.48,189838.8,318207.2,169484.1,216243.7,119984.6,234643.1,369310.7,300088.3,241627.5,96409.71,181171.8,160094.1,104726,122201.7,41533.71
PIP(38:2),47828.1,71932.38,69625.83,18357.21,93408.76,5350.518,68133.08,104482.6,19405.82,36267.5,53699.94,34567.24,27609.72,86669.83,61486.03,58648.85,44170.27,74668.01,106260.4,97980.13,23129.7,129859.2,96930.29,145932.8,83419.14,180379.1,112688.9,86624.74,133503.4,71171.94,123881.9,78744.82,46538.72,72608.09,119625,114367.2,103706.3,107048.4,227475.5,112554.4,74776.12,102271.9,195259,120120.9,121516.5,113715.7,123630.5
L-Histidine,1199869,1314365,1285048,1234246,1398039,1458701,1443158,1391566,1115776,1396266,1246527,1274023,1262040,1428412,1344582,1273670,1366056,1281434,1034809,1132952,1222221,1142213,1270768,1390710,1277773,1396467,759997.1,1685124,1211794,1096522,1310966,1114315,1120948,1159482,1058828,1235720,1064331,1214785,1210383,1284736,1239843,1007054,1218159,1290221,1188792,1292492,1426241
Glycine,78687.75,62296.21,69938.41,53850.89,55742.52,68755.2,67069.82,62071.91,59711.91,55817.42,54522.35,49448.27,51167.74,61394.55,56438.06,54168.92,62711.06,63615.24,71667.35,63840.28,57603.07,54586.35,59821.71,58339.14,64008.92,56335.29,39581.06,87544.99,72045,64891.5,70384.53,56229.61,47706.62,67822.58,72368.53,63601.55,65325.26,63592.48,57956.71,66620.06,68687.36,58285.24,64025.54,64328.39,59186.23,68114.82,78666.68
L-Asparagine,126907.7,114886,130582.2,111063.2,116944.3,119923.4,145403.8,136470.5,127276,122627.8,110810,105781.8,126548.8,136449.3,115475.4,118134,132748.8,116403.6,150059.5,124065.7,122613.7,110895.7,126768.6,143323.6,144613.3,120103.9,67911.85,196749.9,140975.8,143716.2,138882.7,129681.9,100851.7,135281.1,122602.5,126691.5,140137.7,124222.8,124093.1,139421.9,140535.7,128010,129980.7,120103,112433.8,144009.8,162312.7
L-Serine,284755,334299,384869.2,280226.9,324367.7,372049,337137.8,328998,333617.8,295224.9,308712.2,287628.5,271533.7,335444.2,288587.7,308545.1,336269.9,322661.3,327831.2,339368.1,299996.7,276597.3,344100.7,322215.9,354636.4,318525.7,88162.82,510427.3,372541.8,346907.7,335821.8,323150.3,238062.7,372209.6,359740.6,343445.4,352943,355561.6,336700,343818.1,348685.9,320352.2,340959.8,370893.7,387545.8,356783.7,407135.1
C5H8O5,88302.04,75403.44,159245.8,107691.1,92405.52,52519.01,81339.06,100348.3,77456.6,74662.01,72325.29,74275.1,62175.01,99049.32,74355.3,71551.6,110596.4,144403.7,121165.5,146363.9,68834.99,102080,180454.9,128642.4,125097.1,130979.8,75074.32,238186.6,206636.7,142083.5,152255.3,220906.9,122750.6,125363.8,162782.3,209633.5,145441,132449.7,128775.3,137204.1,121972.7,183575.8,198400.4,157257.2,159134.5,91983.06,89695.3
