Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
BC332_29071_mrna,191.0,221.0,245.0,281.0,256.0,312.0
BC332_08095_mrna,7.0,4.0,9.0,4.0701,5.0,2.0212
BC332_12024_mrna,12.0,2.0,4.0,7.0,5.0,4.0
BC332_14967_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_10881_mrna,1168.0,1293.0,1296.0,904.0,488.0,1156.0
BC332_33395_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_13740_mrna,0.0,0.0,0.0,2.0,0.0,2.0
BC332_32366_mrna,654.0,467.0,563.0,499.0,582.0,475.0
BC332_04032_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_03205_mrna,0.0,2.0,0.0,4.0,3.0,1.0
BC332_26782_mrna,6.82994,0.0,0.0,11.1051,0.0,11.7829
BC332_25002_mrna,109.0,94.0,83.0,72.0,93.0,113.0
BC332_16770_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_08131_mrna,263.0,98.0,176.0,360.0,4.0,192.0
BC332_14329_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_23112_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_13786_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_11630_mrna,1074.0,840.0,934.0,685.0,673.0,871.0
BC332_05175_mrna,400.3,381.989,346.073,252.087,263.784,436.888
BC332_03919_mrna,1094.0,1097.0,670.0,377.0,551.0,565.0
BC332_12167_mrna,4252.0,3591.0,3698.0,1987.0,2621.0,3144.0
BC332_28112_mrna,17655.0,17017.0,16320.0,1886.0,3166.0,3803.0
BC332_31723_mrna,16.0,19.0,20.0,7.0,10.0,14.0
BC332_23373_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_25172_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_20507_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_20716_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_21776_mrna,532.0,521.0,422.0,293.0,414.0,424.0
BC332_13573_mrna,177.46,125.677,141.142,177.87,222.881,235.889
BC332_12335_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_06345_mrna,0.0,0.0,0.0,2.0,0.0,0.0
BC332_05567_mrna,623.0,525.0,485.0,273.0,237.0,513.0
BC332_16008_mrna,95.0,73.0,68.0,61.0,95.0,143.0
BC332_17014_mrna,30.0,18.0,18.0,39.0,25.0,19.0
BC332_01218_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_30849_mrna,4.0,1.0,3.0,4.0,0.0,6.0
BC332_24788_mrna,119.0,82.0,91.0,236.0,121.0,152.0
BC332_33592_mrna,1.0,2.0,3.0,6.0,6.0,8.0
BC332_12823_mrna,29.3393,9.0,24.0,33.0,15.1688,36.5737
BC332_04153_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_16407_mrna,1811.0,1461.0,1393.0,2.0,16.0,71.0
BC332_17053_mrna,89.0,44.0,63.0,23.0,28.0,43.0
BC332_14352_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_33426_mrna,59.3408,75.6941,55.1365,89.9274,85.3098,112.69
BC332_29963_mrna,0.0,0.0,0.0,0.0,0.0,0.0
