Name,CCM,log2FoldChange,Cluster,Score
BC332_28326_mrna,0.9684243342426204,0.08405085886314999,1.0,0.7870086807214136
BC332_27499_mrna,0.9249452649686779,0.21459986671739156,2.0,0.7868159604255631
BC332_14786_mrna,0.9654349199796515,0.23803933642867672,1.0,0.7867284486332471
BC332_01432_mrna,0.9284580915028535,-0.033165003415737485,7.0,0.7866982885241651
BC332_21491_mrna,0.9669643269638494,0.12332551904664152,7.0,0.7866411313876875
BC332_24606_mrna,0.9614304268323748,0.37702768287930466,1.0,0.7859375943394422
BC332_05521_mrna,0.9242843086068584,0.10283115377226644,7.0,0.7858294824180492
BC332_15485_mrna,0.9265861276716572,-0.05966118392745163,2.0,0.7857569475956236
BC332_10949_mrna,0.9671504384978462,-0.030219031158123442,5.0,0.7857493522242058
BC332_32403_mrna,0.9883752240853616,-1.7410510012711362,6.0,0.7848318201117579
BC332_22460_mrna,0.9584228344869916,0.3807666837223611,7.0,0.7846941656706989
BC332_25545_mrna,0.9218138143266216,0.04146635172381174,1.0,0.7844183351033154
BC332_09120_mrna,0.9614960784020692,0.11597051547649447,7.0,0.7842846367530651
BC332_21776_mrna,0.9580618880883626,0.25374700193900424,1.0,0.7837184497586407
BC332_06224_mrna,0.9605749873069285,-0.04719064307679541,7.0,0.782862281529884
BC332_33320_mrna,0.9751249480548765,-1.2212280092611492,6.0,0.7820300155588413
BC332_17738_mrna,0.9154387849133994,0.07903939961136269,7.0,0.782020186977026
BC332_09995_mrna,0.912435560095814,0.26057647159016245,7.0,0.7819444899780013
BC332_00220_mrna,0.9541620070703916,0.21709498765282811,1.0,0.7818367888203999
BC332_14879_mrna,0.9541165753617797,-2.864915094469553,6.0,0.7818213641706826
BC332_29965_mrna,0.9038951012350974,0.7516780872957093,3.0,0.7816696656494833
BC332_21465_mrna,0.9519813611523513,0.31996228676710514,1.0,0.7815831474843147
BC332_17166_mrna,0.9152456065039961,-0.046643302405498195,1.0,0.7811439683550823
BC332_14516_mrna,0.9000169713376652,0.9033316261200772,1.0,0.7811054681867922
BC332_00247_mrna,0.912015749460339,0.13422527932186215,1.0,0.780957777917584
BC332_30145_mrna,0.9453223892624307,0.6386467661035943,1.0,0.7808812468050128
BC332_29640_mrna,0.9583948371621909,-0.2764640504404378,6.0,0.7805098680563627
BC332_30858_mrna,0.9075848106268491,0.34592131165429346,7.0,0.7804973089859091
BC332_33251_mrna,0.9503733244872821,0.24391376593801906,7.0,0.780411783512788
BC332_05071_mrna,0.9545667266801201,-0.09035380200768216,1.0,0.7800503623161479
BC332_05257_mrna,0.9488656354579116,0.20921421472564997,7.0,0.7795515591874396
BC332_22554_mrna,0.8938503079303619,1.0314693678081763,3.0,0.7794560572792815
BC332_18582_mrna,0.8904024737208518,1.1108004624560033,1.0,0.778593621352424
BC332_12829_mrna,0.9470500304551139,0.15735285346938105,1.0,0.7784512225778646
BC332_16179_mrna,0.9511766746023201,-0.127986468000119,7.0,0.7783803872301795
BC332_30573_mrna,0.9174943739608437,-0.6778644953292833,6.0,0.7782010642815425
BC332_04292_mrna,0.93535494415321,0.8385038316232456,1.0,0.7780438526706404
BC332_28904_mrna,0.8944419021087779,0.7721128329853165,7.0,0.777922933151348
